times,startx,starty,endx,endy,velocity
1.215833333,0.025695426,0.066712413,0.039999259,0.119629364,0.197535448
1.216666667,0.023217378,0.057488858,0.037708922,0.091715633,0.148178969
1.217222222,0.052492451,0.107317507,0.056174607,0.092585628,0.151850756
1.217777778,0.067229482,0.109929424,0.03829926,0.107065703,0.1842567
1.218055556,0.048869427,0.082923628,0.051564737,0.06942838,0.132113031
1.218055556,0.038854036,0.09254638,0.036732815,0.089815067,0.101217744
1.219166667,0.045088461,0.091947769,0.03120294,0.109627823,0.139777772
1.223611111,0.017779917,0.075762948,0.059164656,0.073060742,0.205367692
1.224166667,0.027997014,0.065615579,0.036524443,0.072846346,0.12271155
1.227777778,0.045029248,0.073752785,0.049374383,0.067678686,0.24221376
1.23,0.028439093,0.068176585,0.047573604,0.045410286,0.204707376
1.232777778,0.049331946,0.117088453,0.056317033,0.097909817,0.140765955
1.234166667,0.053368191,0.0807193,0.049759909,0.085587831,0.31165155
1.237777778,0.051436148,0.083573664,0.040707782,0.115352574,0.149255261
1.241388889,0.027472755,0.076973244,0.045660674,0.07500104,0.171065773
1.242777778,0.028652501,0.080083131,0.066384966,0.094166797,0.24955349
1.247777778,0.030145956,0.079729691,0.050610737,0.065977509,0.16376833
1.248333333,0.006181394,0.086420973,0.010494145,0.023982801,0.280938883
1.250277778,0.025709522,0.048812289,0.015885611,0.078861992,0.14780933
1.250277778,0.055685103,0.083192413,0.042138047,0.125473169,0.085563654
1.251111111,0.032636657,0.11778563,0.003926314,0.123899598,0.073487366
1.253055556,0.028797661,0.070265526,0.042224441,0.124617349,0.241664908
1.253055556,0.041082065,0.093943417,0.020080146,0.086582232,0.214215501
1.253055556,0.012167865,0.075329941,0.01085054,0.060458108,0.260913711
1.253888889,0.029334376,0.106244137,0.030169103,0.054586134,0.173016827
1.254444444,0.029662392,0.118754978,0.002124712,0.105471265,0.164524769
1.256111111,0.035111346,0.112785763,0.03171154,0.074332633,0.19684317
1.256666667,0.015207554,0.073785272,0.037052905,0.080146048,0.160921812
1.256666667,0.026954393,0.10591643,0.033933689,0.124807291,0.207142949
1.257222222,0.009712651,0.086841963,0.045154803,0.071346171,0.148300041
1.2575,0.037624563,0.091987708,0.06619612,0.09942539,0.202063829
1.264722222,0.054482869,0.069358358,0.060895182,0.096331274,0.169454533
